"","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF"
"201631_s_at",4.16001654442305,4.09386630118213,10.2253464394336,10.7645432026597,10.6928730058569,8.8882392077523,6.74972695663497,5.81032007077548,7.22132339359546,3.78024197170797,4.26233926245126,4.66524816592604,8.87319148260238,11.9058755324579,8.33211047056649,5.06542946707296,11.5470435210179,8.70743718380252,5.22448962921163,2.09598357427417,7.53218998471656,9.77672179373358,7.72979627447085,8.90088395561742,0.980930063186652,10.9949708985301,5.48894495601499,4.55690956116718,2.77868178422215,1.08188088582971,8.21187695384564,9.90744035479957,6.08366301870255,5.18643279344017,5.83050266804487,12.2356712400416,9.13161995333783,5.11085229014708,6.97640276017234,2.68386902316092,7.9837808701738,10.466262190988,8.00283544286432,7.21258739732219,5.79057435571764,11.442802188772,10.3988397555908,7.52556083744063,6.18985079907958,3.03758269827033,8.67590987319255,10.5937333523954,7.1032455778695,7.09393422935865,5.39576313110569,11.7332739534026,10.0316937660243,7.95527114038055,5.29015391157221,4.90289620415901
"202912_at",10.1976233193705,7.6307976770389,6.8368739871262,9.80991185340892,2.43367351985789,8.13007224709032,1.14484592329033,6.97996587879742,1.2429420270234,7.46061620480455,9.30297230215974,9.63576098212302,7.15326653546309,2.46284810667258,0.891581633985289,1.49550863491449,11.8052301937718,9.00653722528609,7.05977429863154,9.30965485781207,9.11750688000239,3.51262516272867,2.65811630080998,1.51807487192009,10.5993417394777,13.2219051847005,8.45872028877944,9.02168541266819,8.82676410418969,10.7349860332915,9.0348758088379,5.06294113915582,1.37942159996147,8.7135174577354,9.50630158970123,12.2524912004164,10.7057089887172,7.84698041845197,1.81888519469299,9.93835700485517,10.5968564800689,3.5884441223609,0.855126590697533,2.18491011913427,13.0286032827545,11.5220846060833,10.0094904556974,7.83432738172533,8.35596176306026,11.5581323660246,11.1382131510966,5.260361230283,3.45479436504183,4.65421150102,11.4657307333481,12.8429877568109,11.5080013673478,10.7396147965373,11.6344035453347,10.8411358064664
"212190_at",7.56806073436683,7.72645456463105,7.33823715721733,8.03919398680391,6.88448151319995,9.32147747098772,8.41057026745098,9.51495039100692,11.7518801259144,10.9007667086856,8.53870265893645,8.55971023262376,8.56274610924511,9.36829541737595,11.7431099948616,14.2581856731522,8.79823131068362,9.91607809876548,10.9587914560103,11.3686972438206,6.9405153929943,8.14444914194362,10.0396961036776,13.3747919213108,6.80080379860381,6.93366370194519,8.68051746130164,9.51357463315902,10.4711480174722,6.40652522696658,7.80683414569865,7.99497380597708,10.5087592745233,12.2891333074084,7.27584301974182,7.26843618709437,9.28618950285783,10.0463654763216,12.8547145508569,7.48703671315323,5.17521983471474,7.31457964868428,10.0207475100033,11.7486784901859,6.89422128691905,6.55251853916123,8.16225939140951,9.07530020919218,9.70767850805544,6.62017646414101,11.939436801454,11.5977117911315,12.0328801698746,12.6630059996106,11.8182087516238,11.7404104979888,11.5730454333191,12.0446528597083,11.6539951671801,11.4168808523784
"206157_at",3.55320134730747,3.56889330724674,3.37365037697025,8.10761024820191,1.42867802583643,6.97526409946486,0.885580070431362,6.31521349010441,0.747856260721968,6.0912640482886,7.56764046476089,7.40631178989381,6.56536360856048,5.07251735192583,3.11658228823006,0.434882844604367,9.08216048945249,9.59964333194936,9.74323688974512,7.2948091875304,8.26346917964413,6.46676973678247,4.00129543090229,2.78028789683637,7.52192386288564,11.1970628293385,10.2391409878296,9.48429779089064,9.49584747075837,8.28483536788186,7.23795462156719,6.12615377940004,3.38500570042107,9.71801003935746,8.00375051540862,10.2161620904008,9.94617194372554,10.8292813197444,1.99083773388579,7.93989027080561,8.90184471954905,8.11497934980734,3.42263486045342,2.11004170815794,8.71637299381303,8.99830241071078,10.2746971543517,10.4314167018962,9.67966894127576,8.31495702386981,10.1596748756397,10.3060977430363,8.75826536556944,4.57040918525064,9.64954174378895,10.3848446215602,10.7909896149601,10.7417818539029,10.575578728887,10.6069274082177
"201289_at",1.6537982276123,1.75008829933475,3.03680759760591,3.58460283589135,0.304408379329995,0.285191133935908,1.37943872718703,0.152257973243662,3.95937827273092,0.737699893903138,2.95168958540161,2.80251310843682,3.44108519491175,2.41954655388786,2.92747151745961,4.97224950247123,4.28064998883427,0.504466487121551,1.1114624972964,1.98719075525146,6.73075174729227,3.88287616195487,5.0885237473243,8.38987302494746,5.5548399901674,6.33853376346881,0.819762561646833,1.05533799325767,2.07950802824957,4.80653685993197,5.54646709344098,2.07023829353567,1.11692601569471,0.121584089995248,6.40876674325357,7.44075723808689,1.13355349258627,0.0472163515172321,5.1095872653554,5.29863305809896,3.99324570010842,1.39152732199828,2.81614654941577,6.92572107680572,6.72140435678338,6.52567684301821,1.25719312000429,0.928801255685946,0.612408959382249,4.12656778527725,7.41787751155478,3.98063481657927,5.37396136008866,7.92509746297383,3.94254599968109,7.38047262925053,1.48026060905414,0.770605538796734,2.6175204177607,5.39124162260809
"215076_s_at",5.92911253426993,6.82850402955525,6.59365518269091,6.99628359058794,4.16522554564764,6.69908211496732,7.10678454983747,6.89211959633364,10.0802427693368,8.83807243689365,2.68671600391514,2.79107661790153,2.27830253251591,1.76008019695205,3.28991134974161,8.52930823270791,2.75945828649942,3.37772762279061,4.13671034567569,5.10118016851111,6.03863477495608,5.85195984392663,8.06090857626277,11.8977761542296,5.92563215786828,5.73574105040264,7.18700701067449,8.28467439514602,10.3734773169921,5.67866240801391,7.36738049124771,7.07261008154053,7.73774365376348,9.57845181717762,7.87717528987553,7.30913083736108,7.96740604443085,7.3384998223787,10.4591112697427,7.69522844121103,7.7872040862874,8.25240033222637,8.55117761822327,12.337046762156,9.31864691383914,9.4178696024277,9.16631979381982,9.31142215767351,11.7324564488388,8.66984929448054,10.4054726400765,10.134291330802,10.9159866718969,13.2995327927508,11.7124797212642,11.0408403310642,11.8038809698492,12.0783144841202,13.3531662953976,10.234047445878
"208131_s_at",4.01210083050071,3.8296309352281,3.63953506466405,4.97214397709156,3.1332425789523,4.02542121890606,3.12839033097007,4.08922834830152,2.24216600453899,4.95500758371404,2.5773238975058,2.39994711825254,2.51622268457032,2.25951891031601,2.08680106454873,0.831929017455211,2.22592200096066,2.14649074129768,1.93411442705217,1.5162667240912,6.8675420612223,5.91530859975503,6.05641622910431,4.6567836916607,6.34921507486895,6.33545398803559,6.33534124371434,6.28898878237582,6.56545297839489,6.63639759169149,4.65215194291047,4.95715316452799,4.56492973795277,3.03810596999925,4.78379831565005,5.01277924940952,4.522966388694,3.99938082615141,2.74618404429183,4.88995455301227,7.23626656226931,7.53262295760781,6.40621937076266,5.22914123944099,7.59011348072914,7.52805678895145,6.89214040724211,6.60902158409212,6.83913599283747,7.48893409472636,7.21798962237433,7.09767788750242,7.01742306569414,6.44517081488927,6.95355928304234,6.97459581572043,6.91343252393309,7.26957807229041,7.98352674537448,7.06038614588383
"225681_at",2.16864713023836,2.3979911681082,1.98992441628367,2.39417510809153,1.89850763732057,2.05012440121982,2.42806887306618,2.92113429011702,3.53895350557983,3.41647545537919,1.42217617522913,1.43382834870389,1.41555708651122,1.43642312411544,1.7749508423995,3.24976866477639,1.46394382291699,1.5078695762119,1.93457219462749,2.49652560790972,4.5693775838682,5.02552423643891,4.99827788234877,6.93436213037713,4.85512688895728,4.47706616204051,4.49714052032217,5.31454831461439,6.19172581007795,4.46326610215687,4.80740428998755,5.3696392751076,5.88816128469757,6.84877677597607,5.15184996639474,4.98025323332044,5.63984460370975,5.96893725465342,6.33208318012019,5.5490242102535,6.73162908829175,8.25534992953751,7.91305280755828,9.18322737813332,7.74781894310115,7.75985637477906,7.68528229781559,8.52400083985055,8.68602861477441,7.79580810080782,4.98549016978378,5.62767408534218,6.01460933903824,8.6044153500954,5.54037686943575,5.06589109461768,5.36157345861377,6.13736283402391,8.25356947334727,5.47325411786101
"202037_s_at",3.48324202488932,4.19536316199653,3.8038087518996,3.72284325728118,3.20336750794743,3.42493283544488,3.52334090979963,3.22053580041799,2.10720903510121,2.84064243591379,2.07596030786098,2.31928996439076,2.23027626539337,2.21877752511597,1.73565613395827,1.4558397245869,2.03513804366022,2.0795847838738,1.89872826686501,1.65909766917639,5.83743291071128,5.73699206963936,5.13245629742162,4.65972803295768,5.77982913599268,6.21035644305768,5.95199583986845,5.63238383754105,5.87335839479311,5.71430293678048,5.49888621107827,5.44516969531918,5.95560835288854,3.36315840613672,5.45781339059082,5.35868377667655,5.69529273765222,5.95757650663616,4.70659899681876,5.63385769671015,0.774350471165075,0.908682023699606,0.949185780498648,0.654532188526545,0.925322607706983,1.31093176456759,1.16646369737075,0.862891681903025,0.566021185627828,1.14961020824125,0.208187793301928,0.22756568661417,0.255138226268017,0.0969859484759208,0.233192830172753,0.0864369646544753,0.208712745426324,0.205050519291704,0.0799411843155595,0.395622071389646
"209283_at",5.26243957568699,4.92842033550309,5.64430931042768,5.21768910212008,5.5197139997441,4.30699645674894,6.23703542921158,4.04457243631306,7.07200758711757,2.55506250271495,7.85637868914376,7.5873609940389,7.66339817808184,7.89514980717399,8.31300069743883,8.58226089094469,7.4229874316521,7.13700990701965,6.60556713778968,7.05855836431351,6.38796338598631,6.05749590396599,6.68542172410482,7.01848084312763,6.04150471027481,5.35707532808967,5.20185046006541,4.8203246008185,3.43641190856703,5.64580799164838,6.47856814129885,6.3226387733906,6.08592910834855,3.00470217166575,6.24712946061607,5.76184300349766,5.71754287662771,5.90843952901548,6.00634162590605,6.30968068336805,2.97579879332115,2.48560103233053,2.74559947751951,2.22851873142406,2.31597454557428,2.284871110853,2.04020534604748,1.56812772299634,0.809303739947278,2.63113295285636,3.13418444628169,2.89238584050005,3.6471538741852,3.55832935931744,2.78247356595984,2.61040622782659,3.06069325259979,2.35541793138776,1.52012642338161,3.15371697892422
